Date,Value
2016-01,13261100000
2016-02,13455400000
2016-03,14339700000
2016-04,14008100000
2016-05,14258300000
2016-06,14145100000
2016-07,14420800000
2016-08,14480000000
2016-09,14182500000
2016-10,14622500000
2016-11,14606700000
2016-12,17741200000
2017-01,14033400000
2017-02,13329100000
2017-03,15181200000
2017-04,14162000000
2017-05,15136100000
2017-06,15047000000
2017-07,14970400000
2017-08,14686800000
2017-09,14688700000
2017-10,14956800000
2017-11,15411600000
2017-12,17925700000
2018-01,15011100000
2018-02,14213600000
2018-03,15843800000
2018-04,15489400000
2018-05,15815100000
2018-06,16036100000
2018-07,16148700000
2018-08,16121600000
2018-09,15522200000
2018-10,16655100000
2018-11,16970300000
2018-12,19756400000
2019-01,16318600000
2019-02,15599700000
2019-03,17631600000
2019-04,17282500000
2019-05,18129800000
2019-06,17959400000
2019-07,19272100000
2019-08,18678800000
2019-09,17855700000
2019-10,18721600000
2019-11,19631700000
2019-12,23355800000
2020-01,19033200000
2020-02,18709400000
2020-03,15866700000
2020-04,12688700000
2020-05,18124300000
2020-06,19169800000
2020-07,20934200000
2020-08,19620800000
2020-09,19248200000
2020-10,19961600000
2020-11,18785900000
2020-12,22972100000
2021-01,15834600000
2021-02,14780300000
