Date,O3,No2
01.01.2016,38.16666667,29.8
02.01.2016,36.66666667,28.2
03.01.2016,58.56666667,32.63333333
04.01.2016,60.63333333,33.9
05.01.2016,59.3,39.63333333
06.01.2016,60.16666667,35.8
07.01.2016,57.6,41.03333333
08.01.2016,56.93333333,51.76666667
09.01.2016,28.06666667,45.83333333
10.01.2016,69.76666667,31.96666667
11.01.2016,70.5,34.4
12.01.2016,74.56666667,25.26666667
13.01.2016,72.53333333,33.6
14.01.2016,52.5,47.4
15.01.2016,66.03333333,32.16666667
16.01.2016,57.56666667,29.73333333
17.01.2016,64.43333333,30.3
18.01.2016,44.36666667,51.86666667
19.01.2016,31.93333333,64.03333333
20.01.2016,22.66666667,61.63333333
21.01.2016,33.3,46.63333333
22.01.2016,38.96666667,54.83333333
23.01.2016,40.9,52.06666667
24.01.2016,36.53333333,48.9
25.01.2016,23.4,69.53333333
26.01.2016,18.2,69.06666667
27.01.2016,18.2,62.03333333
28.01.2016,19.83333333,58.86666667
29.01.2016,29,53.96666667
30.01.2016,66.63333333,29.7
31.01.2016,64.76666667,17.1
01.02.2016,53.56666667,30.66666667
02.02.2016,55.6,34.43333333
03.02.2016,62.13333333,31.8
04.02.2016,64.73333333,32.3
05.02.2016,46.03333333,46.13333333
06.02.2016,36.8,45.13333333
07.02.2016,64.7,35.63333333
08.02.2016,68.73333333,30.46666667
09.02.2016,85.03333333,35.43333333
10.02.2016,86.16666667,28.76666667
11.02.2016,65.7,39.23333333
12.02.2016,62.43333333,45.13333333
13.02.2016,72.13333333,33.03333333
14.02.2016,68.66666667,28.13333333
15.02.2016,43.13333333,36.2
16.02.2016,31.16666667,26.93333333
17.02.2016,26.23333333,36.8
18.02.2016,51.3,44.26666667
19.02.2016,56.8,39.26666667
20.02.2016,57.76666667,35.93333333
21.02.2016,64.33333333,31.1
22.02.2016,58.6,38.73333333
23.02.2016,66.53333333,26.46666667
24.02.2016,62.63333333,42.36666667
25.02.2016,43.3,45.1
26.02.2016,55.36666667,37.8
27.02.2016,37.16666667,38.5
28.02.2016,33.16666667,32.1
29.02.2016,40.16666667,36.83333333
01.03.2016,68.53333333,41.73333333
02.03.2016,72.4,39.16666667
03.03.2016,75.46666667,39.26666667
04.03.2016,51.43333333,51.46666667
05.03.2016,60.43333333,43.1
06.03.2016,67.5,22.9
07.03.2016,75.23333333,35.36666667
08.03.2016,67,35.9
09.03.2016,62.36666667,46.93333333
10.03.2016,76.93333333,50.76666667
11.03.2016,62.6,35.1
12.03.2016,57.7,28.13333333
13.03.2016,52.1,19.96666667
14.03.2016,49.2,30.5
15.03.2016,61.43333333,38.83333333
16.03.2016,54.06666667,33.1
17.03.2016,57.36666667,50.9
18.03.2016,80.76666667,62.76666667
19.03.2016,87.06666667,55.46666667
20.03.2016,78.76666667,38.6
21.03.2016,57.8,36.13333333
22.03.2016,65.86666667,35.96666667
23.03.2016,61.83333333,37.63333333
24.03.2016,73.36666667,39.1
25.03.2016,71.9,28.93333333
26.03.2016,80.8,31.56666667
27.03.2016,83.8,32.23333333
28.03.2016,75,23.1
29.03.2016,79.06666667,31.33333333
30.03.2016,71.3,38.96666667
31.03.2016,67.9,54.26666667
01.04.2016,53.26666667,31.13333333
02.04.2016,24.66666667,30.06666667
03.04.2016,56.06666667,34.23333333
04.04.2016,71.03333333,38.03333333
05.04.2016,69.6,37.2
06.04.2016,75.7,30.7
07.04.2016,76.26666667,32.96666667
08.04.2016,75.3,27.6
09.04.2016,55.13333333,30.26666667
10.04.2016,83.86666667,27.6
11.04.2016,80.63333333,41.2
12.04.2016,91.06666667,36.86666667
13.04.2016,81,33.86666667
14.04.2016,84.9,37
15.04.2016,59.33333333,48.13333333
16.04.2016,83.1,29.33333333
17.04.2016,79.46666667,19.83333333
18.04.2016,70.43333333,31.93333333
19.04.2016,81.46666667,28.66666667
20.04.2016,81.96666667,36.13333333
21.04.2016,92.23333333,48.6
22.04.2016,101,37.06666667
23.04.2016,80.76666667,25.3
24.04.2016,77.13333333,19.06666667
25.04.2016,81.8,26.63333333
26.04.2016,82.2,27.2
27.04.2016,85.8,28.7
28.04.2016,89.36666667,34.63333333
29.04.2016,97.16666667,41.63333333
30.04.2016,99.3,36.53333333
01.05.2016,74.5,20.73333333
02.05.2016,87.43333333,29.93333333
03.05.2016,90.66666667,31.36666667
04.05.2016,101.4333333,27.9
05.05.2016,108.1333333,26.2
06.05.2016,125.8,41.26666667
07.05.2016,129.8333333,36.9
08.05.2016,129,29.2
09.05.2016,107.1,42.66666667
10.05.2016,96.86666667,36.2
11.05.2016,82.2,33.93333333
12.05.2016,92.23333333,35.5
13.05.2016,72.96666667,38.66666667
14.05.2016,96.53333333,29.33333333
15.05.2016,95.43333333,12.56666667
16.05.2016,95.46666667,14.83333333
17.05.2016,91.6,30.63333333
18.05.2016,98.76666667,32.03333333
19.05.2016,84.43333333,27.43333333
20.05.2016,90.3,36.16666667
21.05.2016,101.1,35.33333333
22.05.2016,111.9,22.1
23.05.2016,96.56666667,30.06666667
24.05.2016,67.83333333,27.96666667
25.05.2016,79.86666667,32.06666667
26.05.2016,99.86666667,37.13333333
27.05.2016,114.8,41
28.05.2016,90.16666667,26.26666667
29.05.2016,82.8,22.53333333
30.05.2016,81.13333333,23.66666667
31.05.2016,91.33333333,28.8
01.06.2016,85.36666667,28.7
02.06.2016,65.63333333,25.1
03.06.2016,60.56666667,25.46666667
04.06.2016,75.23333333,25.03333333
05.06.2016,82.86666667,19.7
06.06.2016,101.9333333,33.13333333
07.06.2016,97.9,37.8
08.06.2016,78.13333333,36.8
09.06.2016,89.06666667,34.06666667
10.06.2016,113.7,35.06666667
11.06.2016,92.16666667,24.56666667
12.06.2016,65.9,16.73333333
13.06.2016,58.1,26.63333333
14.06.2016,55.43333333,27.9
15.06.2016,70.9,25.73333333
16.06.2016,68.33333333,36.2
17.06.2016,76.4,26.96666667
18.06.2016,79.63333333,23.06666667
19.06.2016,78.6,18.8
20.06.2016,87.1,26.76666667
21.06.2016,69.23333333,30.46666667
22.06.2016,78.2,32.33333333
23.06.2016,113.3666667,40.5
24.06.2016,121.7666667,37.13333333
25.06.2016,84.7,20.73333333
26.06.2016,79.56666667,15.33333333
27.06.2016,88.43333333,25.33333333
28.06.2016,95.43333333,30.66666667
29.06.2016,88.96666667,31.23333333
30.06.2016,81.9,31.93333333
01.07.2016,94.36666667,32.43333333
02.07.2016,69.3,23.16666667
03.07.2016,83.8,14.66666667
04.07.2016,89.76666667,33.36666667
05.07.2016,82.86666667,28.66666667
06.07.2016,93.9,31.26666667
07.07.2016,121.1666667,40.3
08.07.2016,129.1,43.33333333
09.07.2016,111.6,29.43333333
10.07.2016,123.2333333,27.7
11.07.2016,111.4333333,37.43333333
12.07.2016,67.46666667,30.63333333
13.07.2016,60.93333333,25.23333333
14.07.2016,66.13333333,27.1
15.07.2016,76.4,25.56666667
16.07.2016,104.3,20.23333333
17.07.2016,93.53333333,26.2
18.07.2016,99.83333333,39.13333333
19.07.2016,106.5666667,41.93333333
20.07.2016,135.4333333,45.16666667
21.07.2016,108.0333333,34.1
22.07.2016,88.5,33.66666667
23.07.2016,92.7,22.53333333
24.07.2016,100.2,14.73333333
25.07.2016,98.73333333,29.46666667
26.07.2016,111.5333333,27.9
27.07.2016,92.73333333,22.66666667
28.07.2016,98,27.06666667
29.07.2016,87.36666667,25.66666667
30.07.2016,96.2,25.76666667
31.07.2016,113.1,16.76666667
01.08.2016,93.66666667,15.73333333
02.08.2016,91.83333333,32.26666667
03.08.2016,93.95,33.1
04.08.2016,93.75,34.8
05.08.2016,70.93333333,21.8
06.08.2016,86.73333333,18.06666667
07.08.2016,93.6,18.16666667
08.08.2016,96.66666667,29.23333333
09.08.2016,59.36666667,23.53333333
10.08.2016,73.66666667,20.56666667
11.08.2016,88.4,23.93333333
12.08.2016,75.1,27.9
13.08.2016,83.06666667,31.2
14.08.2016,109.4,30.63333333
15.08.2016,105.2,39.4
16.08.2016,107.1333333,36.13333333
17.08.2016,103.6333333,34.56666667
18.08.2016,81.03333333,39.56666667
19.08.2016,84.46666667,34.03333333
20.08.2016,62.66666667,28.13333333
21.08.2016,73.06666667,14.8
22.08.2016,83.5,29.56666667
23.08.2016,94.66666667,36.13333333
24.08.2016,105.9,40.16666667
25.08.2016,131.6,48.63333333
26.08.2016,139.6,56.5
27.08.2016,136.3,42.63333333
28.08.2016,129.1,23.6
29.08.2016,80.6,24.5
30.08.2016,88.9,26.9
31.08.2016,109.5333333,31.46666667
01.09.2016,109.3,35.86666667
02.09.2016,115.4,44.96666667
03.09.2016,117.7333333,41.26666667
04.09.2016,96.13333333,26.93333333
05.09.2016,59.63333333,29.03333333
06.09.2016,79.83333333,21.36666667
07.09.2016,86.6,38.9
08.09.2016,110.1666667,41.76666667
09.09.2016,110.9,46.16666667
10.09.2016,126.9,40.23333333
11.09.2016,125.9666667,27.26666667
12.09.2016,103.2333333,44
13.09.2016,101.7666667,50.4
14.09.2016,115.7666667,46.76666667
15.09.2016,78.9,33.13333333
16.09.2016,66.7,33.03333333
17.09.2016,55.8,22.86666667
18.09.2016,41.76666667,18.66666667
19.09.2016,59.46666667,25.73333333
20.09.2016,63.13333333,25
21.09.2016,58.13333333,30.66666667
22.09.2016,55.36666667,42.63333333
23.09.2016,85.56666667,43.7
24.09.2016,86.8,38.26666667
25.09.2016,98.13333333,31.66666667
26.09.2016,86.43333333,38.06666667
27.09.2016,79.8,39
28.09.2016,80.5,45.63333333
29.09.2016,85.03333333,43.83333333
30.09.2016,99.06666667,45.6
01.10.2016,73.76666667,33
02.10.2016,60.1,19.63333333
03.10.2016,68.46666667,32.4
04.10.2016,65.66666667,26.56666667
05.10.2016,49.76666667,21.8
06.10.2016,42.43333333,27.3
07.10.2016,32.3,29.76666667
08.10.2016,33.66666667,26.36666667
09.10.2016,52.96666667,22.73333333
10.10.2016,50.26666667,27.43333333
11.10.2016,52.13333333,30.46666667
12.10.2016,49.96666667,34.13333333
13.10.2016,24.76666667,35.6
14.10.2016,17.5,37.53333333
15.10.2016,51.96666667,38.8
16.10.2016,38.9,30.16666667
17.10.2016,19.66666667,38.1
18.10.2016,47.4,38.86666667
19.10.2016,52.8,34.43333333
20.10.2016,58.23333333,32.66666667
21.10.2016,51.23333333,37
22.10.2016,57.83333333,38.73333333
23.10.2016,19.86666667,34.73333333
24.10.2016,20.36666667,42.5
25.10.2016,21,50.56666667
26.10.2016,30.83333333,34.5
27.10.2016,43.06666667,34.43333333
28.10.2016,16.23333333,39.2
29.10.2016,24.4,34.26666667
30.10.2016,39.33333333,28.36666667
31.10.2016,15.93333333,35.16666667
01.11.2016,18.46666667,39.96666667
02.11.2016,59.96666667,36.63333333
03.11.2016,53.33333333,34.43333333
04.11.2016,23.96666667,50.56666667
05.11.2016,44.66666667,38.33333333
06.11.2016,62.36666667,23.6
07.11.2016,53.7,45.03333333
08.11.2016,33.36666667,47.8
09.11.2016,56.55,36.03333333
10.11.2016,67.46666667,32.7
11.11.2016,59.16666667,35.53333333
12.11.2016,37.43333333,32.6
13.11.2016,37.2,29.4
14.11.2016,26.1,30.86666667
15.11.2016,30.4,41.2
16.11.2016,21.83333333,46.2
17.11.2016,33.66666667,42.76666667
18.11.2016,48.93333333,36.8
19.11.2016,73.2,33.96666667
20.11.2016,46.33333333,44.36666667
21.11.2016,14.9,62.9
22.11.2016,31.96666667,56.33333333
23.11.2016,5.2,47.56666667
24.11.2016,5.066666667,44.63333333
25.11.2016,7.5,35.56666667
