Year,Month,Value
2020,1,0.705140041
2020,2,0.279435271
2020,3,-0.203762437
2020,4,0.954811389
2020,5,1.174817928
2020,6,1.059215257
2020,7,1.037330851
2020,8,0.435370937
2020,9,-0.025190606
2020,10,0.006236734
2020,11,0.253447847
2020,12,-1.842398847
2020,13,-3.491723968
2020,14,-4.668387794
2020,15,-7.538587904
2020,16,-9.442771902
2020,17,-8.878486832
2020,18,-7.034425068
2020,19,-5.542188691
2020,20,-5.440620468
2020,21,-6.126499024
2020,22,-4.858671671
2020,23,-5.492770058
2020,24,-4.429107066
2020,25,-4.357498963
2020,26,-4.094184753
2020,27,-3.772497155
2020,28,-3.147111177
2020,29,-3.155192104
2020,30,-3.065065096
2020,31,-2.415027818
2020,32,-1.387128573
2020,33,-1.388826043
2020,34,-1.743767886
2020,35,-1.844469518
2020,36,-1.653256286
2020,37,-2.397536626
2020,38,-2.213947881
2020,39,-2.630022421
2020,40,-1.361037902
2020,41,-1.889093782
2020,42,-1.878397908
2020,43,-2.124837074
2020,44,-1.403827395
2020,45,-1.163556504
2020,46,-1.415404721
2020,47,-1.328715021
2020,48,-1.480204525
2020,49,-1.202664724
2020,50,-1.361600377
2020,51,-1.365645246
2020,52,-0.879989323
2020,53,-0.99
2021,1,-1.112342928
2021,2,-1.235511522
2021,3,-1.582204216
2021,4,-1.796102499
2021,5,-2.398858239
2021,6,-2.581238407
2021,7,-1.928080758
2021,8,-0.804794455
2021,9,0.822492025
2021,10,0.80982249
2021,11,1.673194456
2021,12,2.999555346
2021,13,5.305219878
2021,14,8.810961325
2021,15,9.992682389
2021,16,10.1966562
2021,17,9.879356974
2021,18,9.331726852
