"consumption","SMI","unemployment_proxy","electricity","mobility","net_bankruptcies","air_pollution","c19_cases","stringency"
227537675.824824,10699.82,150705,106.393640781761,0,58.343463559887,36.7333585364745,0.00107554820258721,0
229445513.67775,10699.82,150705,106.672540703927,0,64.8312625066401,36.6695158096241,-0.00297907955203129,0
231319916.190721,10699.82,150705,106.954382637521,0,71.3131708761333,36.6048386904891,-0.00703585840305497,0
233125866.215609,10699.82,150705,107.251533272891,0,77.7763262140219,36.5359779000846,-0.0110909812877849,0
234862142.374242,10699.82,150705,107.568642082606,0,84.199813870816,36.4602030843916,-0.0151265694267164,0
236544440.741143,10665.41,150705,107.893333861757,0,90.5535898093223,36.371372051198,-0.0191025620777686,0
238156157.104991,10686.8,149954,108.201486186171,0,96.7974100233695,36.2590867972783,-0.0229486453600075,0
239690115.954279,10652.16,149954,108.48861107825,0,102.887438241818,36.1140862896172,-0.0265563002683436,0
241147992.737227,10650.97,150790,108.760261488482,0,108.769705291859,35.9288454181823,-0.0297711105069671,0
242539069.522562,10639.49,151256,109.03816185432,0,114.40442742764,35.6981764174366,-0.0323855471795336,0
243878577.238079,10639.49,151476,109.345193869355,0,119.76502595243,35.4222392969239,-0.0341325391686809,0
245199665.223693,10639.49,151222,109.700835177951,0,124.831021431591,35.097224985916,-0.0346802442626902,0
246553136.886508,10622.41,151149,110.105838796402,0,129.587140259496,34.7177138899001,-0.0336285551715055,0
247952788.275323,10655.82,151494,110.549438480916,0,134.022470326942,34.2769978745453,-0.0305080041165444,0
249407491.144715,10670.74,151998,111.031523323373,0,138.133001668018,33.7739961647332,-0.0247818662088809,0
250920130.646942,10693.52,152395,111.55815380348,0,141.925553905094,33.2145685127133,-0.0158524005513579,0
252489338.503726,10841.82,152853,112.12999322492,0,145.414091160259,32.6078900646625,-0.00307230251439918,0
254110001.922878,10841.82,153256,112.73785101505,0,148.617589963286,31.9692072179929,0.0142374373326734,0
255784417.971582,10841.82,153114,113.366917648721,0,151.550291162088,31.3188143262788,0.0367619730255683,0
257527490.820042,10846.29,153067,113.972508553559,0,154.221166006249,30.6733519619389,0.065157983725327,0
259313367.486969,10884.51,153384,114.495239714194,0,156.633427363494,30.0412610339429,0.100008624646942,0
261106381.177118,10895.07,153782,114.896427849677,0,158.795917907215,29.4247177735845,0.141766735037945,0
262860076.936623,10813.94,154083,115.157942796797,0,160.719874739575,28.8248561457422,0.19068513689659,0
264520139.428825,10849.75,154056,115.270316965513,0,162.423735643085,28.2427574863046,0.246733118751049,0
266027026.187078,10849.75,154375,115.243870344629,0,163.923818421135,27.6799901321125,0.309498598855696,0
267356384.249132,10849.75,154475,115.099078935495,0,165.232870254506,27.1407235027532,0.378076029227406,0
268512158.572937,10675.96,154444,114.831059664115,0,166.359817687576,26.6302491833656,0.450940864685344,0
269462279.014634,10781.98,154806,114.419117665205,0,167.309548453013,26.1540740304988,0.525812407990218,0
270189873.584718,10859.88,155170,113.857491545274,0,168.09305698054,25.718721104033,0.599508080173367,0
270683192.961433,10748.92,155386,113.161099847684,0,168.726119441801,25.3234328939633,0.667793677450148,0
270937700.124623,10627.88,153259,112.358946253067,0,169.222996498946,24.9638999694053,0.725235979875574,0
270959416.385395,10627.88,153081,111.491842914221,0,169.597661127549,24.6397723730223,0.765066180149754,0
270780099.581574,10627.88,152925,110.607354810532,0,169.86121580377,24.3546906378058,0.779064999013038,0
270457229.856638,10664.95,153006,109.728746219828,0,170.021830060244,24.1089046567506,0.757483024845514,0
270008892.260171,10800.64,153141,108.857362309783,0,170.08469656031,23.8970369184842,0.689012716029176,0
269458047.433291,10994.15,153234,107.994690577272,0,170.060837662294,23.7106122061352,0.560831564896391,0
268828821.033301,11012.36,153484,107.147652880026,0,169.96676160843,23.5381453370769,0.358739038347447,0
268151947.574648,11001.53,153582,106.335111665132,0,169.816299834673,23.3662495144911,0.0674129401528126,0
267464268.110769,11001.53,153442,105.593882106335,0,169.628622650046,23.1836335333439,-0.329186403993653,0
266820201.545456,11001.53,153393,104.963020429833,0,169.414764313597,22.9891959230635,-0.847233494278496,0
266287947.337227,11039.78,153461,104.462930865299,0,169.177654313934,22.7905425058503,-1.50224445808024,0
265895394.30746,11101.17,153625,104.086815721936,0,168.912153012279,22.596193199135,-2.30804095578893,0
265660673.340201,11089.24,153767,103.830307680609,0,168.617591160801,22.4110272092729,-3.27544015887825,0
265592898.777917,11092.35,153820,103.699122636259,0,168.293480819502,22.2367316287384,-4.41064315691046,0
